"ID","np","place","feature","type","is_natural","indig_or_wstrn","is_oipn","for_apeople","is_transl","class","erasure","problem","derog","prob_col"
300,"Canyonlands","Mesa Arch","Point of Interest or geologic formation","Shape","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
301,"Canyonlands","Mile Long Rapids","Point of Interest or geologic formation","Shape","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
302,"Canyonlands","Monument Basin","Point of Interest or geologic formation","Shape","Natural","Western","NA - WPN","NA - WPN","No","Object","Yes - know IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
303,"Canyonlands","Moses and Zeus","Point of Interest or geologic formation","Greek mythology","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
304,"Canyonlands","Murphy","Point of Interest or geologic formation","Person","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No information - cannot find explanation","No info - not likely, no evidence","#482677FF"
305,"Canyonlands","Musselman Arch","Point of Interest or geologic formation","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence","#1F968BFF"
306,"Canyonlands","Natural Arch","Point of Interest or geologic formation","Shape","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
307,"Canyonlands","North Trail","Trail","Other Western reference","Human-constructed","Western","NA - WPN","NA - WPN","No","Other","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
308,"Canyonlands","Orange Cliffs Overlook","Point of Interest or geologic formation","Shape","Human-constructed","Western","NA - WPN","NA - WPN","No","Other","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
309,"Canyonlands","Paul Bunyans Potty","Point of Interest or geologic formation","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","Other - truly does not fit any other classes","No info - not likely, no evidence",NA
310,"Canyonlands","Peekaboo Spring","Point of Interest or geologic formation","Shape","Natural","Western","NA - WPN","NA - WPN","No","Act","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
311,"Canyonlands","Petes Mesa","Point of Interest or geologic formation","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence","#1F968BFF"
312,"Canyonlands","Potato Bottom","Point of Interest or geologic formation","Plant","Natural","Western","NA - WPN","NA - WPN","No","Plant","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
313,"Canyonlands","Pothole Point","Point of Interest or geologic formation","Shape","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
314,"Canyonlands","Red Sea Flat","Point of Interest or geologic formation","Other Western reference","Natural","Western","NA - WPN","NA - WPN","No","Place","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
315,"Canyonlands","Roadside Ruin","Cultural heritage (Indigenous)","Shape","Human-constructed","Western","NA - WPN","NA - WPN","No","Object","No information","Name itself promotes racist ideas and/or violence against a group","Potentially - no evidence but justification of potential to feel like a swear word","#B8DE29FF"
316,"Canyonlands","S.O.B. Hill","Point of Interest or geologic formation","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","Yes - swear words only, evidence offensive","#440154FF"
317,"Canyonlands","Salt Creek","River","Mineral","Natural","Western","NA - WPN","NA - WPN","No","Plant","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
318,"Canyonlands","Shafer Canyon","Point of Interest or geologic formation","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence","#1F968BFF"
319,"Canyonlands","Shafer Canyon Overlook","Point of Interest or geologic formation","Person","Human-constructed","Western","NA - WPN","NA - WPN","No","Person","Not erasure - evidence it is an original IPN | settler-built WPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence","#1F968BFF"
320,"Canyonlands","Silver Stairs","Point of Interest or geologic formation","Shape","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
321,"Canyonlands","Slickrock Foot (Trail)","Trail","Shape","Human-constructed","Western","NA - WPN","NA - WPN","No","Object","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
322,"Canyonlands","Soda Springs Basin","Point of Interest or geologic formation","Mineral","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
323,"Canyonlands","Spanish Bottom","Point of Interest or geologic formation","Person","Natural","Western","NA - WPN","NA - WPN","No","People","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence","#440154FF"
324,"Canyonlands","Squaw Canyon","Point of Interest or geologic formation","Native American reference","Natural","Indigenous","no","no",NA,"Person","Yes - know IPN","Name itself promotes racist ideas and/or violence against a group","Yes - swear words only, evidence offensive","#B8DE29FF"
325,"Canyonlands","Squaw Flat","Point of Interest or geologic formation","Native American reference","Natural","Indigenous","no","no",NA,"Person","Yes - know IPN","Name itself promotes racist ideas and/or violence against a group","Yes - swear words only, evidence offensive","#B8DE29FF"
326,"Canyonlands","Squaw Flat","Campground","Native American reference","Human-constructed","Indigenous","no","no",NA,"Person","Not erasure - evidence it is an original IPN | settler-built WPN","Name itself promotes racist ideas and/or violence against a group","Yes - swear words only, evidence offensive","#B8DE29FF"
